folder,filename,image_id,bbox,valence,arousal,dominance,category,emotic_split,cocoId,cocoSplit,cropBox,loss,nsdId,flagged,BOLD5000,shared1000,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject1_rep0,subject1_rep1,subject1_rep2,subject2_rep0,subject2_rep1,subject2_rep2,subject3_rep0,subject3_rep1,subject3_rep2,subject4_rep0,subject4_rep1,subject4_rep2,subject5_rep0,subject5_rep1,subject5_rep2,subject6_rep0,subject6_rep1,subject6_rep2,subject7_rep0,subject7_rep1,subject7_rep2,subject8_rep0,subject8_rep1,subject8_rep2,subject1_rep0_beta_idx,subject1_rep1_beta_idx,subject1_rep2_beta_idx,subject2_rep0_beta_idx,subject2_rep1_beta_idx,subject2_rep2_beta_idx,subject3_rep0_beta_idx,subject3_rep1_beta_idx,subject3_rep2_beta_idx,subject4_rep0_beta_idx,subject4_rep1_beta_idx,subject4_rep2_beta_idx,subject5_rep0_beta_idx,subject5_rep1_beta_idx,subject5_rep2_beta_idx,subject6_rep0_beta_idx,subject6_rep1_beta_idx,subject6_rep2_beta_idx,subject7_rep0_beta_idx,subject7_rep1_beta_idx,subject7_rep2_beta_idx,subject8_rep0_beta_idx,subject8_rep1_beta_idx,subject8_rep2_beta_idx,subject
mscoco/images,COCO_val2014_000000562243.jpg,562243,"[86,58,564,628]",5.0,3.0,9.0,"['7', '9']",train,562243,val2017,"(0, 0, 0.0, 0.0)",0.0,1856,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15382,15420,15600,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15381,15419,15599,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
mscoco/images,COCO_train2014_000000288841.jpg,288841,"[485,149,605,473]",6.0,4.0,7.0,['3'],train,288841,train2017,"(0, 0, 0.125, 0.125)",0.0588235294117647,23833,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25298,26158,26339,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25297,26157,26338,-1,-1,-1,7
mscoco/images,COCO_train2014_000000462955.jpg,462955,"[42,32,413,472]",3.0,6.0,8.0,"['3', '11', '18']",train,462955,train2017,"(0, 0, 0.1265625, 0.1265625)",0.0,58785,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,762,14181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,414,761,14180,8
mscoco/images,COCO_train2014_000000186198.jpg,186198,"[336,80,494,327]",7.0,7.0,8.0,"['3', '18']",train,186198,train2017,"(0, 0, 0.16484375, 0.16484375)",0.0,54991,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26447,26795,26864,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,26446,26794,26863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
mscoco/images,COCO_train2014_000000006590.jpg,6590,"[188,109,381,382]",7.0,4.0,7.0,['11'],train,6590,train2017,"(0, 0, 0.125, 0.125)",0.0,16052,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,24503,27655,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1822,24502,27654,8
mscoco/images,COCO_val2014_000000547457.jpg,547457,"[157,43,470,420]",8.0,4.0,7.0,"['3', '11', '13', '16']",train,547457,train2017,"(0, 0, 0.16796875, 0.16796875)",0.0,10543,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8145,8589,8774,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8144,8588,8773,-1,-1,-1,-1,-1,-1,6
mscoco/images,COCO_val2014_000000122997.jpg,122997,"[246,63,458,380]",5.0,3.0,8.0,['11'],train,122997,train2017,"(0, 0, 0.16796875, 0.16796875)",0.0909090909090909,37797,False,False,False,0,1,0,0,0,0,0,0,0,0,0,25536,25550,25801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,25535,25549,25800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
mscoco/images,COCO_val2014_000000122997.jpg,122997,"[141,47,348,343]",6.0,4.0,7.0,"['7', '11', '18']",train,122997,train2017,"(0, 0, 0.16796875, 0.16796875)",0.0909090909090909,37797,False,False,False,0,1,0,0,0,0,0,0,0,0,0,25536,25550,25801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,25535,25549,25800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
mscoco/images,COCO_val2014_000000121006.jpg,121006,"[182,83,386,445]",8.0,6.0,6.0,"['5', '16']",train,121006,train2017,"(0, 0, 0.14453125, 0.14453125)",0.0,38364,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6867,7018,7042,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6866,7017,7041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
mscoco/images,COCO_train2014_000000497759.jpg,497759,"[6,71,350,488]",5.0,7.0,7.0,['8'],train,497759,train2017,"(0, 0, 0.0, 0.0)",0.0,67821,False,False,False,1,0,0,0,0,0,0,0,24706,24856,24899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24705,24855,24898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
